project_id,phase_id,co_id,co_cost,co_reason,date
1000,1,CO-1000-1-619,33790,Scope change,2012-07-08
1000,2,CO-1000-2-443,39118,Unforeseen conditions,2012-10-04
1000,3,CO-1000-3-741,23916,Design revision,2013-01-07
1000,5,CO-1000-5-297,48685,Unforeseen conditions,2013-07-23
1001,1,CO-1001-1-875,10909,Scope change,2013-05-29
1001,2,CO-1001-2-655,29984,Client request,2013-11-08
1001,3,CO-1001-3-345,29299,Design revision,2014-03-07
1001,3,CO-1001-3-885,36603,Design revision,2014-03-23
1001,3,CO-1001-3-696,32583,Client request,2014-03-05
1001,5,CO-1001-5-321,25703,Client request,2014-12-07
1001,5,CO-1001-5-441,31230,Design revision,2014-11-25
1002,2,CO-1002-2-255,35678,Design revision,2009-01-01
1002,3,CO-1002-3-354,48804,Unforeseen conditions,2009-03-22
1003,5,CO-1003-5-134,34498,Unforeseen conditions,2012-10-02
1004,1,CO-1004-1-798,30902,Scope change,1998-03-25
1004,1,CO-1004-1-820,40999,Client request,1998-03-27
1004,2,CO-1004-2-715,45320,Client request,1998-06-29
1005,2,CO-1005-2-250,23588,Unforeseen conditions,1998-04-02
1005,5,CO-1005-5-580,46278,Scope change,1998-09-24
1005,5,CO-1005-5-855,14062,Design revision,1998-09-18
1006,2,CO-1006-2-338,22678,Design revision,2012-10-29
1006,4,CO-1006-4-190,38866,Unforeseen conditions,2013-06-17
1006,5,CO-1006-5-718,14357,Unforeseen conditions,2013-08-31
1008,1,CO-1008-1-319,49406,Unforeseen conditions,1997-12-14
1008,2,CO-1008-2-150,12418,Scope change,1998-03-07
1008,3,CO-1008-3-960,17151,Client request,1998-04-23
1009,5,CO-1009-5-590,23354,Client request,2006-12-27
1010,2,CO-1010-2-504,39476,Client request,2006-04-23
1010,4,CO-1010-4-751,14994,Unforeseen conditions,2006-10-28
1010,5,CO-1010-5-510,31220,Scope change,2007-01-30
1011,3,CO-1011-3-120,25532,Scope change,2018-06-10
1011,5,CO-1011-5-175,27790,Design revision,2019-03-03
1012,3,CO-1012-3-634,28410,Design revision,2019-08-11
1012,5,CO-1012-5-932,17738,Client request,2020-04-27
1013,5,CO-1013-5-704,36297,Client request,2012-02-16
1014,1,CO-1014-1-957,22764,Client request,2009-02-28
1014,2,CO-1014-2-708,44414,Client request,2009-06-08
1014,3,CO-1014-3-221,32660,Scope change,2009-10-19
1014,3,CO-1014-3-578,37255,Unforeseen conditions,2009-10-10
1015,1,CO-1015-1-171,15758,Scope change,1999-04-27
1015,2,CO-1015-2-795,31583,Scope change,1999-08-31
1015,3,CO-1015-3-447,16372,Scope change,1999-12-05
1015,5,CO-1015-5-845,46341,Design revision,2000-08-15
1016,1,CO-1016-1-506,23953,Scope change,2011-10-05
1016,1,CO-1016-1-204,14596,Client request,2011-10-09
1016,1,CO-1016-1-289,16633,Design revision,2011-10-18
1016,2,CO-1016-2-244,45539,Scope change,2011-12-22
1016,2,CO-1016-2-663,30772,Client request,2012-01-04
1016,2,CO-1016-2-904,15287,Scope change,2011-12-29
1017,2,CO-1017-2-804,48769,Unforeseen conditions,2022-06-10
1017,2,CO-1017-2-745,17415,Scope change,2022-06-13
1017,3,CO-1017-3-137,44332,Design revision,2022-09-03
1017,5,CO-1017-5-205,34738,Unforeseen conditions,2023-01-14
