project_id,phase_id,trade,subcontractor,est_hours,act_hours,hourly_rate,safety_incidents
1000,1,Carpentry,Carpentry Co,175,162,74,0
1000,1,Steel Erection,Steel Erection Co,175,179,108,0
1000,2,Concrete,Concrete Co,350,366,80,0
1000,2,Excavation,Excavation Co,350,323,90,0
1000,3,Electrical,Electrical Co,473,516,104,0
1000,3,HVAC,HVAC Co,473,478,102,0
1000,4,Steel Erection,Steel Erection Co,350,317,80,0
1000,4,Finishes,Finishes Co,350,383,51,0
1000,5,Concrete,Concrete Co,403,392,102,1
1000,5,Finishes,Finishes Co,403,365,100,1
1001,1,Excavation,Excavation Co,379,374,82,0
1001,1,Plumbing,Plumbing Co,379,413,79,0
1001,2,Steel Erection,Steel Erection Co,759,693,98,0
1001,2,Plumbing,Plumbing Co,759,798,73,0
1001,3,Finishes,Finishes Co,1024,1091,53,1
1001,3,Steel Erection,Steel Erection Co,1024,1072,63,0
1001,4,Carpentry,Carpentry Co,759,699,87,0
1001,4,Excavation,Excavation Co,759,711,98,0
1001,5,Concrete,Concrete Co,872,948,100,0
1001,5,Plumbing,Plumbing Co,872,903,66,0
1002,1,Excavation,Excavation Co,277,283,76,1
1002,1,Plumbing,Plumbing Co,277,299,86,0
1002,2,Steel Erection,Steel Erection Co,554,549,62,0
1002,2,Excavation,Excavation Co,554,505,82,0
1002,3,Excavation,Excavation Co,748,808,51,0
1002,3,Plumbing,Plumbing Co,748,730,53,2
1002,4,Concrete,Concrete Co,554,554,72,0
1002,4,Excavation,Excavation Co,554,501,81,0
1002,5,HVAC,HVAC Co,637,657,101,0
1002,5,Excavation,Excavation Co,637,590,52,0
1003,1,Steel Erection,Steel Erection Co,474,521,52,0
1003,1,Electrical,Electrical Co,474,480,83,0
1003,2,Electrical,Electrical Co,949,980,60,0
1003,2,Steel Erection,Steel Erection Co,949,907,84,0
1003,3,HVAC,HVAC Co,1282,1179,59,1
1003,3,Carpentry,Carpentry Co,1282,1270,82,0
1003,4,Electrical,Electrical Co,949,969,87,0
1003,4,Concrete,Concrete Co,949,975,56,1
1003,5,Excavation,Excavation Co,1092,1123,70,0
1003,5,HVAC,HVAC Co,1092,1011,59,1
1004,1,Concrete,Concrete Co,161,171,94,1
1004,1,Excavation,Excavation Co,161,161,95,1
1004,2,HVAC,HVAC Co,323,323,60,0
1004,2,Concrete,Concrete Co,323,335,105,0
1004,3,Concrete,Concrete Co,436,419,101,0
1004,3,Plumbing,Plumbing Co,436,469,60,0
1004,4,Concrete,Concrete Co,323,298,74,1
1004,4,Plumbing,Plumbing Co,323,346,95,0
1004,5,Excavation,Excavation Co,371,342,55,0
1004,5,Steel Erection,Steel Erection Co,371,379,57,0
1005,1,Finishes,Finishes Co,321,352,104,0
1005,1,Steel Erection,Steel Erection Co,321,314,92,0
1005,2,Concrete,Concrete Co,642,591,80,0
1005,2,Carpentry,Carpentry Co,642,673,103,0
1005,3,Plumbing,Plumbing Co,867,941,101,0
1005,3,Finishes,Finishes Co,867,830,84,0
1005,4,Plumbing,Plumbing Co,642,663,51,0
1005,4,Excavation,Excavation Co,642,623,50,0
1005,5,Excavation,Excavation Co,738,771,85,0
1005,5,Finishes,Finishes Co,738,804,94,0
1006,1,Plumbing,Plumbing Co,304,326,97,0
1006,1,Electrical,Electrical Co,304,285,57,0
1006,2,Electrical,Electrical Co,608,627,79,0
1006,2,Excavation,Excavation Co,608,596,86,0
1006,3,Excavation,Excavation Co,821,760,91,0
1006,3,Finishes,Finishes Co,821,763,70,2
1006,4,Concrete,Concrete Co,608,647,68,0
1006,4,Carpentry,Carpentry Co,608,572,96,0
1006,5,Plumbing,Plumbing Co,699,683,90,0
