project_id,phase_id,supplier,item,qty,planned_cost,actual_cost,delivery_date,delivery_delay_days
1000,1,Cascade Steel,Concrete,29,23453,14730,2012-06-11,2
1000,1,Cascade Steel,Lumber,47,11213,15401,2012-06-11,3
1000,2,Cascade Steel,Steel,73,23182,23860,2012-09-06,5
1000,2,NorthStar Materials,Lumber,77,18602,12727,2012-09-06,3
1000,3,RapidSupply,Concrete,71,10626,13035,2012-12-16,1
1000,3,RapidSupply,Concrete,65,17701,10637,2012-12-16,5
1000,4,Cascade Steel,Lumber,53,8148,12108,2013-04-11,5
1000,4,MetroBuild,Steel,78,21084,20411,2013-04-11,2
1000,5,NorthStar Materials,Lumber,85,20125,12595,2013-07-09,0
1000,5,Cascade Steel,Concrete,71,14327,8583,2013-07-09,4
1001,1,RapidSupply,Steel,57,10176,20679,2013-05-18,4
1001,1,Cascade Steel,Concrete,86,18381,22828,2013-05-18,1
1001,2,MetroBuild,Lumber,80,23733,25544,2013-10-14,3
1001,2,MetroBuild,Lumber,94,15792,26810,2013-10-14,2
1001,3,NorthStar Materials,Concrete,59,16060,27738,2014-02-23,5
1001,3,MetroBuild,Lumber,39,22336,22653,2014-02-23,5
1001,4,MetroBuild,Concrete,97,9209,25810,2014-06-12,4
1001,4,NorthStar Materials,Steel,36,16212,19159,2014-06-12,2
1001,5,NorthStar Materials,Lumber,30,19716,20443,2014-11-10,2
1001,5,RapidSupply,Steel,20,23617,14599,2014-11-10,4
1002,1,NorthStar Materials,Steel,23,21345,16601,2008-09-30,1
1002,1,RapidSupply,Lumber,73,24902,24996,2008-09-30,2
1002,2,Cascade Steel,Lumber,32,13973,11723,2008-12-20,3
1002,2,NorthStar Materials,Steel,80,13199,19133,2008-12-20,0
1002,3,Cascade Steel,Concrete,57,23954,27727,2009-03-12,3
1002,3,NorthStar Materials,Steel,91,19311,22682,2009-03-12,3
1002,4,RapidSupply,Concrete,47,16996,18294,2009-06-26,1
1002,4,NorthStar Materials,Concrete,83,22011,14483,2009-06-26,2
1002,5,Cascade Steel,Steel,41,14033,16431,2009-10-18,1
1002,5,Cascade Steel,Steel,37,12351,19128,2009-10-18,1
1003,1,MetroBuild,Steel,91,9041,15600,2011-11-06,0
1003,1,RapidSupply,Concrete,76,20092,20519,2011-11-06,4
1003,2,MetroBuild,Lumber,64,8513,16909,2012-01-25,2
1003,2,NorthStar Materials,Concrete,31,19649,17599,2012-01-25,0
1003,3,NorthStar Materials,Steel,92,12372,12189,2012-04-06,1
1003,3,MetroBuild,Concrete,87,19225,15839,2012-04-06,4
1003,4,Cascade Steel,Concrete,72,11307,17795,2012-06-29,4
1003,4,NorthStar Materials,Concrete,27,17042,24917,2012-06-29,4
1003,5,NorthStar Materials,Lumber,80,15707,9077,2012-09-14,0
1003,5,MetroBuild,Steel,34,8424,11280,2012-09-14,5
1004,1,MetroBuild,Lumber,25,10116,12677,1998-02-27,1
1004,1,RapidSupply,Concrete,68,15799,15726,1998-02-27,5
1004,2,Cascade Steel,Steel,89,18140,14770,1998-06-04,4
1004,2,Cascade Steel,Concrete,99,19264,14093,1998-06-04,0
1004,3,Cascade Steel,Lumber,93,20413,21006,1998-08-17,1
1004,3,RapidSupply,Steel,20,20162,12504,1998-08-17,1
1004,4,MetroBuild,Concrete,32,23238,27094,1998-11-09,2
1004,4,NorthStar Materials,Lumber,30,17103,24111,1998-11-09,2
1004,5,Cascade Steel,Steel,92,20246,21092,1999-01-12,1
1004,5,MetroBuild,Concrete,62,8695,20083,1999-01-12,5
1005,1,NorthStar Materials,Lumber,31,23158,10410,1997-12-27,2
1005,1,RapidSupply,Steel,64,9840,25597,1997-12-27,4
1005,2,NorthStar Materials,Lumber,90,11365,12365,1998-03-09,4
1005,2,RapidSupply,Concrete,96,19993,13668,1998-03-09,4
1005,3,Cascade Steel,Lumber,97,15543,12729,1998-04-30,5
1005,3,NorthStar Materials,Lumber,29,13552,9282,1998-04-30,3
1005,4,Cascade Steel,Steel,55,8315,8622,1998-06-29,1
1005,4,RapidSupply,Lumber,57,16376,26163,1998-06-29,4
1005,5,RapidSupply,Lumber,34,20240,12190,1998-09-07,4
1005,5,NorthStar Materials,Lumber,87,21770,17847,1998-09-07,1
1006,1,Cascade Steel,Concrete,67,21681,26591,2012-07-18,1
1006,1,Cascade Steel,Concrete,92,11942,18144,2012-07-18,1
1006,2,NorthStar Materials,Lumber,46,8404,24996,2012-10-01,2
1006,2,RapidSupply,Concrete,62,24067,14906,2012-10-01,2
1006,3,RapidSupply,Steel,66,19385,21888,2013-01-28,0
1006,3,MetroBuild,Concrete,42,24553,10518,2013-01-28,4
1006,4,MetroBuild,Lumber,48,8764,26683,2013-05-30,5
1006,4,Cascade Steel,Lumber,50,22269,12585,2013-05-30,1
1006,5,RapidSupply,Concrete,44,21033,22492,2013-08-16,1
1006,5,Cascade Steel,Concrete,54,9650,20855,2013-08-16,5
1007,1,RapidSupply,Lumber,53,16572,16209,2004-07-23,1
1007,1,NorthStar Materials,Steel,29,22302,27677,2004-07-23,0
1007,2,NorthStar Materials,Lumber,29,10484,15355,2004-11-28,4
1007,2,Cascade Steel,Steel,86,17634,11442,2004-11-28,1
1007,3,Cascade Steel,Steel,85,14111,11276,2005-04-22,3
1007,3,RapidSupply,Concrete,26,14806,27449,2005-04-22,5
1007,4,MetroBuild,Concrete,90,16822,19854,2005-09-15,4
1007,4,MetroBuild,Steel,72,20945,10396,2005-09-15,1
1007,5,MetroBuild,Concrete,94,17899,15997,2006-02-14,1
1007,5,RapidSupply,Concrete,46,11944,24440,2006-02-14,4
1008,1,MetroBuild,Concrete,71,20645,11356,1997-12-02,0
1008,1,RapidSupply,Lumber,28,13487,9617,1997-12-02,5
1008,2,Cascade Steel,Steel,41,24116,24498,1998-02-07,4
1008,2,NorthStar Materials,Steel,33,24095,17950,1998-02-07,3
1008,3,MetroBuild,Lumber,36,10862,13337,1998-04-07,3
1008,3,Cascade Steel,Lumber,37,21629,24758,1998-04-07,0
1008,4,MetroBuild,Concrete,61,24022,16474,1998-06-03,0
