project_id,phase_id,phase_name,planned_start,planned_end,actual_start,actual_end,planned_cost,actual_cost,planned_hours,actual_hours,weather_delay_days
1000,1,Site Prep,2012-06-11,2012-09-05,2012-06-11,2012-09-02 00:00:00,525798,537590,525,527,0
1000,2,Foundation,2012-09-06,2012-12-15,2012-09-06,2012-12-22 00:00:00,1156756,1147363,1051,1005,2
1000,3,Structural,2012-12-16,2013-04-10,2012-12-16,2013-04-21 00:00:00,1472236,1557791,1419,1455,4
1000,4,Enclosure,2013-04-11,2013-07-08,2013-04-11,2013-07-05 00:00:00,946437,1007858,1051,1092,2
1000,5,Interiors,2013-07-09,2013-10-13,2013-07-09,2013-10-13 00:00:00,1051597,1079741,1209,1125,2
1001,1,Site Prep,2013-05-18,2013-10-13,2013-05-18,2013-10-21 00:00:00,1138551,1192406,1138,1139,2
1001,2,Foundation,2013-10-14,2014-02-22,2013-10-14,2014-02-25 00:00:00,2504813,2707975,2277,2273,2
1001,3,Structural,2014-02-23,2014-06-11,2014-02-23,2014-06-15 00:00:00,3187944,3290841,3074,3174,0
1001,4,Enclosure,2014-06-12,2014-11-09,2014-06-12,2014-11-15 00:00:00,2049392,2136908,2277,2311,2
1001,5,Interiors,2014-11-10,2015-04-20,2014-11-10,2015-04-30 00:00:00,2277103,2277290,2618,2518,1
1002,1,Site Prep,2008-09-30,2008-12-19,2008-09-30,2008-12-19 00:00:00,831298,844250,831,826,0
1002,2,Foundation,2008-12-20,2009-03-11,2008-12-20,2009-03-13 00:00:00,1828857,1833814,1662,1655,0
1002,3,Structural,2009-03-12,2009-06-25,2009-03-12,2009-06-27 00:00:00,2327636,2410197,2244,2297,3
1002,4,Enclosure,2009-06-26,2009-10-17,2009-06-26,2009-10-19 00:00:00,1496337,1502696,1662,1714,1
1002,5,Interiors,2009-10-18,2010-01-24,2009-10-18,2010-01-22 00:00:00,1662597,1676694,1911,2065,0
1003,1,Site Prep,2011-11-06,2012-01-24,2011-11-06,2012-01-31 00:00:00,1424654,1541807,1424,1522,3
1003,2,Foundation,2012-01-25,2012-04-05,2012-01-25,2012-04-11 00:00:00,3134239,3278060,2849,2864,0
1003,3,Structural,2012-04-06,2012-06-28,2012-04-06,2012-06-23 00:00:00,3989031,4137926,3846,4038,1
1003,4,Enclosure,2012-06-29,2012-09-13,2012-06-29,2012-09-22 00:00:00,2564377,2623135,2849,2976,0
1003,5,Interiors,2012-09-14,2012-11-25,2012-09-14,2012-11-23 00:00:00,2849308,2921912,3276,3380,2
1004,1,Site Prep,1998-02-27,1998-06-03,1998-02-27,1998-06-06 00:00:00,484731,501095,484,478,4
1004,2,Foundation,1998-06-04,1998-08-16,1998-06-04,1998-08-23 00:00:00,1066409,1097459,969,991,2
1004,3,Structural,1998-08-17,1998-11-08,1998-08-17,1998-11-03 00:00:00,1357249,1406768,1308,1317,3
1004,4,Enclosure,1998-11-09,1999-01-11,1998-11-09,1999-01-25 00:00:00,872517,906121,969,1009,1
1004,5,Interiors,1999-01-12,1999-03-18,1999-01-12,1999-03-15 00:00:00,969463,1021435,1114,1202,4
1005,1,Site Prep,1997-12-27,1998-03-08,1997-12-27,1998-03-07 00:00:00,963429,967479,963,997,0
1005,2,Foundation,1998-03-09,1998-04-29,1998-03-09,1998-05-06 00:00:00,2119544,2129557,1926,1921,5
1005,3,Structural,1998-04-30,1998-06-28,1998-04-30,1998-07-11 00:00:00,2697602,2642166,2601,2773,0
1005,4,Enclosure,1998-06-29,1998-09-06,1998-06-29,1998-09-15 00:00:00,1734173,1707748,1926,1926,0
1005,5,Interiors,1998-09-07,1998-10-27,1998-09-07,1998-11-09 00:00:00,1926859,1995588,2215,2287,4
1006,1,Site Prep,2012-07-18,2012-09-30,2012-07-18,2012-10-04 00:00:00,912608,961343,912,902,1
1006,2,Foundation,2012-10-01,2013-01-27,2012-10-01,2013-02-01 00:00:00,2007738,2068964,1825,1892,1
1006,3,Structural,2013-01-28,2013-05-29,2013-01-28,2013-06-01 00:00:00,2555303,2649607,2464,2510,0
1006,4,Enclosure,2013-05-30,2013-08-15,2013-05-30,2013-08-14 00:00:00,1642695,1669361,1825,1834,0
1006,5,Interiors,2013-08-16,2013-12-03,2013-08-16,2013-12-10 00:00:00,1825216,1935450,2098,2055,2
1007,1,Site Prep,2004-07-23,2004-11-27,2004-07-23,2004-11-29 00:00:00,449243,466037,449,450,1
1007,2,Foundation,2004-11-28,2005-04-21,2004-11-28,2005-04-21 00:00:00,988334,1094730,898,925,4
1007,3,Structural,2005-04-22,2005-09-14,2005-04-22,2005-09-24 00:00:00,1257880,1321873,1212,1221,1
1007,4,Enclosure,2005-09-15,2006-02-13,2005-09-15,2006-02-24 00:00:00,808637,783801,898,917,0
1007,5,Interiors,2006-02-14,2006-06-10,2006-02-14,2006-06-05 00:00:00,898486,968646,1033,1070,1
1008,1,Site Prep,1997-12-02,1998-02-06,1997-12-02,1998-02-05 00:00:00,397370,411426,397,407,3
1008,2,Foundation,1998-02-07,1998-04-06,1998-02-07,1998-04-02 00:00:00,874215,958059,794,798,0
1008,3,Structural,1998-04-07,1998-06-02,1998-04-07,1998-06-01 00:00:00,1112638,1140315,1072,1096,1
1008,4,Enclosure,1998-06-03,1998-07-25,1998-06-03,1998-08-04 00:00:00,715267,732082,794,785,0
1008,5,Interiors,1998-07-26,1998-10-03,1998-07-26,1998-10-03 00:00:00,794741,802996,913,894,6
1009,1,Site Prep,2005-04-17,2005-09-21,2005-04-17,2005-09-27 00:00:00,244025,252262,244,260,0
1009,2,Foundation,2005-09-22,2006-02-28,2005-09-22,2006-03-13 00:00:00,536855,538599,488,479,3
1009,3,Structural,2006-03-01,2006-08-03,2006-03-01,2006-08-16 00:00:00,683270,676338,658,675,4
1009,4,Enclosure,2006-08-04,2006-12-13,2006-08-04,2006-12-27 00:00:00,439245,431594,488,496,2
1009,5,Interiors,2006-12-14,2007-04-06,2006-12-14,2007-04-09 00:00:00,488050,522967,561,571,0
1010,1,Site Prep,2006-01-25,2006-04-12,2006-01-25,2006-04-10 00:00:00,636966,662082,636,630,2
1010,2,Foundation,2006-04-13,2006-07-02,2006-04-13,2006-06-28 00:00:00,1401326,1417995,1273,1250,5
1010,3,Structural,2006-07-03,2006-10-03,2006-07-03,2006-10-10 00:00:00,1783506,1944057,1719,1764,2
1010,4,Enclosure,2006-10-04,2007-01-09,2006-10-04,2007-01-22 00:00:00,1146540,1195957,1273,1321,1
1010,5,Interiors,2007-01-10,2007-03-24,2007-01-10,2007-04-06 00:00:00,1273933,1254891,1465,1489,4
1011,1,Site Prep,2017-09-08,2017-12-22,2017-09-08,2017-12-25 00:00:00,1462519,1519691,1462,1559,0
1011,2,Foundation,2017-12-23,2018-05-17,2017-12-23,2018-05-22 00:00:00,3217543,3556979,2925,2997,2
1011,3,Structural,2018-05-18,2018-10-09,2018-05-18,2018-10-21 00:00:00,4095055,4274019,3948,3891,3
1011,4,Enclosure,2018-10-10,2019-02-17,2018-10-10,2019-02-12 00:00:00,2632535,2891331,2925,3000,2
1011,5,Interiors,2019-02-18,2019-07-20,2019-02-18,2019-07-23 00:00:00,2925039,3166137,3363,3662,4
1012,1,Site Prep,2018-10-30,2019-03-16,2018-10-30,2019-03-25 00:00:00,737880,787714,737,734,3
1012,2,Foundation,2019-03-17,2019-07-20,2019-03-17,2019-07-23 00:00:00,1623337,1723514,1475,1491,0
1012,3,Structural,2019-07-21,2019-11-17,2019-07-21,2019-11-23 00:00:00,2066065,2201850,1992,2020,0
