project_id,date,weather_delay_hours
1000,2012-06-11,2
1000,2012-07-11,1
1000,2012-08-10,2
1000,2012-09-06,0
1000,2012-10-06,5
1000,2012-11-05,1
1000,2012-12-05,1
1000,2012-12-16,1
1000,2013-01-15,1
1000,2013-02-14,0
1000,2013-03-16,1
1000,2013-04-11,2
1000,2013-05-11,2
1000,2013-06-10,1
1000,2013-07-09,2
1000,2013-08-08,1
1000,2013-09-07,2
1000,2013-10-07,1
1001,2013-05-18,1
1001,2013-06-17,0
1001,2013-07-17,1
1001,2013-08-16,1
1001,2013-09-15,1
1001,2013-10-14,1
1001,2013-11-13,0
1001,2013-12-13,4
1001,2014-01-12,2
1001,2014-02-11,2
1001,2014-02-23,2
1001,2014-03-25,1
1001,2014-04-24,3
1001,2014-05-24,1
1001,2014-06-12,1
1001,2014-07-12,2
1001,2014-08-11,0
1001,2014-09-10,2
1001,2014-10-10,0
1001,2014-11-09,3
1001,2014-11-10,1
1001,2014-12-10,0
1001,2015-01-09,4
1001,2015-02-08,2
1001,2015-03-10,1
1001,2015-04-09,3
1002,2008-09-30,3
1002,2008-10-30,2
1002,2008-11-29,0
1002,2008-12-20,3
1002,2009-01-19,0
1002,2009-02-18,3
1002,2009-03-12,1
1002,2009-04-11,2
1002,2009-05-11,3
1002,2009-06-10,1
1002,2009-06-26,1
1002,2009-07-26,0
1002,2009-08-25,2
1002,2009-09-24,1
1002,2009-10-18,1
1002,2009-11-17,2
1002,2009-12-17,2
1002,2010-01-16,1
1003,2011-11-06,1
1003,2011-12-06,1
1003,2012-01-05,1
1003,2012-01-25,2
1003,2012-02-24,1
1003,2012-03-25,0
1003,2012-04-06,1
1003,2012-05-06,1
1003,2012-06-05,0
1003,2012-06-29,1
1003,2012-07-29,0
1003,2012-08-28,2
1003,2012-09-14,0
1003,2012-10-14,1
1003,2012-11-13,1
1004,1998-02-27,3
1004,1998-03-29,3
1004,1998-04-28,1
1004,1998-05-28,2
1004,1998-06-04,3
1004,1998-07-04,1
1004,1998-08-03,2
1004,1998-08-17,0
1004,1998-09-16,1
1004,1998-10-16,1
1004,1998-11-09,1
1004,1998-12-09,3
1004,1999-01-08,1
1004,1999-01-12,2
1004,1999-02-11,0
1004,1999-03-13,4
1005,1997-12-27,1
1005,1998-01-26,0
1005,1998-02-25,0
1005,1998-03-09,1
1005,1998-04-08,0
1005,1998-04-30,3
1005,1998-05-30,0
1005,1998-06-29,3
1005,1998-07-29,3
1005,1998-08-28,0
1005,1998-09-07,1
1005,1998-10-07,3
1006,2012-07-18,3
1006,2012-08-17,0
1006,2012-09-16,0
1006,2012-10-01,4
1006,2012-10-31,1
1006,2012-11-30,0
1006,2012-12-30,0
1006,2013-01-28,0
1006,2013-02-27,1
1006,2013-03-29,1
1006,2013-04-28,2
1006,2013-05-28,0
1006,2013-05-30,3
1006,2013-06-29,4
1006,2013-07-29,1
1006,2013-08-16,0
1006,2013-09-15,0
1006,2013-10-15,0
1006,2013-11-14,0
1007,2004-07-23,1
1007,2004-08-22,1
1007,2004-09-21,2
1007,2004-10-21,0
1007,2004-11-20,0
1007,2004-11-28,3
1007,2004-12-28,1
1007,2005-01-27,1
1007,2005-02-26,0
1007,2005-03-28,2
1007,2005-04-22,0
1007,2005-05-22,1
1007,2005-06-21,1
1007,2005-07-21,2
1007,2005-08-20,1
1007,2005-09-15,0
1007,2005-10-15,1
1007,2005-11-14,1
1007,2005-12-14,1
1007,2006-01-13,1
1007,2006-02-12,1
1007,2006-02-14,1
1007,2006-03-16,0
1007,2006-04-15,2
1007,2006-05-15,1
1008,1997-12-02,4
1008,1998-01-01,3
1008,1998-01-31,1
1008,1998-02-07,0
1008,1998-03-09,0
